abat-jour 	umbráculum lámpadis
gassosa 	gasiosa pótio
gâteau 	placenta farta
gelato 	gélida sorbítio
ghiacciaio 	glaciata moles
giacca 	tunícula manicata; iacca, iaccilla
gin 	pótio iunípera
giornale 	diárium; ephémeris; acta diurna
gitano 	hamaxóbius (Hispanus); Aegyptanus
goal 	retis violátio
golf 	thorax láneus manicatus
gondola 	cýmbula
gonna, gonnella 	cástula; gunna, gunnella
graffito 	figura gráphio exarata
grappa 	stillatícius sucus vitígenus
grattacielo 	caeliscálpium
groviera 	cáseus forātus Helvéticus
gulag 	campus captivis custodiendis
habitat 	naturalis sedes
habitué 	frequentator (-oris)
hag (caffé) 	cafaeária pótio sine cafaeīno
hall 	amplum deversórii átrium
handicap 	impedimentum
hangar 	receptáculum aërinávium
hascisc 	hasīsum
hidalgo 	nóbilis Hispanus
high life 	élegans vita; láuta vivendi rátio
hinterland 	intérior régio
hostess 	vectorum adiūtrix; aëria ministratrix
hot pants 	brevíssimae bracae femíneae
humour 	festívitas; urbani sales
humus 	fundamentum (rei spiritualis, culturalis, socialis)
idealità 	exemplaris dígnitas
idiota 	homo hebes
igiene 	valetúdinis tuendae ars
immigrato 	ádvena
impegno 	munus
impiccio 	impedimentum
improvvisato 	extemporalis (-e)
inaugurazione 	dedicátio (-ōnis)
inazione 	inértia
incantesimo 	fáscinum
incoscienza 	teméritas
indirizzo 	inscríptio cursuālis
ingegnere 	doctor machinárius
insalata 	lactūca; acetária; ólera; herbae
interesse 	ánimi atténtio
intervista 	collóquium percontatīvum
intossicazione 	venenōsa condício
istanza 	postulátio
iter 	petitionis cursus
IVA 	fiscāle prétii additamentum
jazz 	iazensis música
jeep 	autocinētum locis iniquis aptum
jet 	aërināvis celérrima
jumbo 	capacíssima aërināvis
kamikaze 	voluntárius sui interemptor
karaté 	oppugnátio inermis Iapónica
lady 	Ánglica múlier conspícua
lambrusco 	acre vinum Aemilianum
lampone 	fragum Idaeum; rubus Idaeus
lanternino 	lucérnula
lasagna 	láganum
laser 	instrumentum laséricum
lavagna 	tábula litterária
leader 	factionis princeps
leitmotiv 	melos perductórium
leva 	vectis (-is)
libreria 	taberna librária
limonata 	pótio cítrea
locomotiva 	currus tractórius; máchina vectória
luna park 	horti públici oblectatórii
lunch 	prandículum
maccherone 	pasta tubulata
macedonia 	poma conditīva
macelleria 	taberna carnária
magnetofono 	máchina echóica
mais 	máiza
malaria 	malus aër; morbus palūstris
manager 	procurator (artíficum, cantōrum, ...)
mandorla 	amýgdalum
mango 	mangífera Índica
marajà 	Índicus régulus
market 	multigéneris taberna
marsala 	vinum Lilybaetānum
maxigonna 	máximum hypozónium
mazurca 	saltátio Polónica
meeting 	conventus (-us)
megalomania 	effrenāta glóriae appeténtia
melarancia 	malum Sinense dulce
menu 	escarum index
mercato nero 	mercatūra clandestīna
merlot 	vinum rubrum Burdigalense
merluzzo 	asellus
minestrone 	sorbítio compósita
minigolf 	pilamálleus minūtus
minigonna 	tunícula mínima
mistrà 	pótio anisāta
mitragliatrice 	polýbolum
moka 	faba Mocana; pótio cafaeária Mocana; máchina cafaeária
mondina 	oryzae runcatrix
montacarichi 	anábathrum onerárium
monte di pietà 	domus pigneratícia
mortadella 	murtātum
motel 	deversórium autocinéticum
motoretta 	birótula automatária
mountain bike 	bírota montāna
muro del suono 	repágula soni (n.pl.)
naïf 	ingénuus; natīva simplicitate pictus
narcosi 	sopor artificiōsus
navigazione spaziale 	siderālis navigátio
'ndrangheta 	Bruttianorum praedōnum grex
neofascismo 	renovātus fascálium motus
nettezza urbana 	cívica mundítia
news look 	nova se gerendi et vestiendi rátio
night-club 	taberna nocturna
nurse 	puerorum custos
nylon 	matéria plástica nailonensis
oblò 	fenestēlla orbiculāta
occhiale 	perspicīllum
odontoiatra 	médicus dentárius
ombrello 	umbella; umbráculum
ómnibus 	laophorīum; autocinētum laóphorum
oncoterapia 	tumōrum curationes
Onu 	Unitarum Nationum Coetus
operazione bancaria 	negótium argentárium
operazione chirurgica 	séctio chirúrgica
ora lavorativa 	hora negotiōsa
ora legale 	hora legítima
orafo 	áurifex (-icis)
ore di punta 	tempus máximae frequéntiae
orologio ad acqua 	horológium aquátile
ostello 	hospitíolum
ottomana 	Túrcicus léctulus
overdose 	immódica medicamenti stupefactīvi iniéctio
ovovia 	ovāta vehícula funália
pagella 	punctorum summa
paletot 	superindumentum
pallone 	follis (-is); harpastum; sphaera
palombaro 	urinātor (ōris)
pancarré 	panis quadratus
pan di Spagna 	dulcis panis Hispánicus
pandoro 	panis áureus
panettone 	Mediolanensis placenta
panforte 	Senensis placenta
panificio 	sedes fornáriae exercendae
paninoteca 	pastillorum fartōrum taberna
panna 	lactis flos
pantofola 	sólea; crépida
parà, paracadutista 	miles decíduus
paracadute 	umbrella descensória
parasole 	umbráculum
passamano 	mánuum fulcīmen
passe-partout 	commūnis clavis
pastasciutta 	tubulati pastilli
pasticcino 	crústulum
pastificio 	pastae conficiendae officīna
patatina 	glóbulus solaniānus
patatrac 	súbitum patrimónii naufrágium
patente di guida 	diplōma vehículo automatário ducendo
páttino 	ferrāta sólea
peluche 	densus mollisque villus
penna a sfera 	sphaerígraphum (-i)
pennino 	cálami apex
pensione 	a munéribus vacátio
pentitismo 	malefactōrum paeniténtia
percentuale 	centésima (pars)
pericolosità 	condício periculōsa
pesca 	malum Pérsicum
pesce d'aprile 	ludificátio Calendarum Aprílium
peseta 	nummus Hispanus
pettirosso 	eríthacus
pianoforte 	clavicýmbalum (-i)
piantagrane 	molestiārum fictor
piccione viaggiatore 	columba internúntia
picnic 	cénula subdivālis
pizza 	placenta compressa; placéntula
pizzicheria 	taberna salsária
plaid 	strágula laculāta
playboy 	iúvenis voluptárius
pomodoro 	lycopérsicum
pompelmo 	citrum grande
poncho 	páenula Americana
popcorn 	máizae grana tosta (pl.)
portacenere 	vásculum cinerárium
portasapone 	theca saponária
portavalori 	nummorum gestātor
Porto 	vinum Portucalense
posteggio 	vehiculorum státio
postino 	tabellárius
pot-pourri 	carnes oleraque vária
privacy 	vita privata
prognosi 	praeiudicatus morbi cursus
prospettiva 	prospectus; iudicandi rátio
prostata 	urēthrae glándula
protesta 	reclamátio
psicologo 	humani ánimi investigator
pub 	pública potória taberna
pubblicista 	scriptōrum vulgator
pulizia etnica 	purgátio géntica
punch 	cálida alcohólica pótio
punk 	punkianae catervae ássecla
purè 	pultícula tuberosa
putsch 	subitánea rerum convérsio
quadro clinico 	morbi descriptio
quarantena 	segregátio quadraginta diērum
questionario 	percontatiōnum index
quiz 	aenigma (-ătis)
quoziente 	quotus
raccordo anulare 	orbitalis via viarum coniunctrix
racket 	illícita pecúniae exáctio
radar 	radioëléctricum instrumentum detectórium
radio 	radiophónium
radioamatore 	radiophóniae operator voluptárius
radiointervista 	radiophónica percontátio
radiotelevisione 	radiotelehórasis
raffreddore 	cápitis gravedo; pituíta (laborare)
raggio laser 	rádius laséricus
ragioniere 	ratiocinator
ragù 	ius cárneum
raid 	incúrsio aërináutica (... subitánea publicorum custodum)
rally 	autocinetorum certamen
ranch 	práedium rei pecuáriae curandae
raptus 	ímpetus imperiōsus
rasoio 	tonsórius culter
razziale (odio) 	(ódium) phyléticum
razzo 	rádius ígnifer
rebus 	depictum aenigma
recioto 	Veronense vinum
redentivo 	redemptórius
referendum 	ad pópulum provocátio
refrain (ritornello) 	intercalaris versus
refuso 	typográphicum mendum
reinserimento 	iterata insértio
relax 	relaxátio (-onis)
residence (house) 	diaeta deversória disiuncta
ressa 	stipátio tumultuōsa
restaurant 	taberna refectória
rete stradale 	viárius intextus
retrovisore 	spéculum retroscópicum
ribasso (dei viveri) 	annōnae laxátio
ricatto 	violenta exáctio
ricevuta di ritorno 	perlatae epístulae núntius
riciclaggio 	pecúniae male partae collocátio
ricotta 	cáseus secundárius
ricovero 	hospítium; sanatīva custódia
rifugio alpino 	hospitíolum montanum
rimborso 	pecúniae reddítio
rimunerativo 	quaestuōsus (-a, -um)
rinfresco 	convivíolum
ring 	pugilatórium suggestum
ripresa economica 	incrementum oeconómicum
ripresa fotografica 	impréssio photográphica
riscatto 	prétium (pro redemptione)
rodéo 	spectáculum equestre
rosticceria 	assōrum taberna
roulette 	rótula (lúdicra)
rubinetto 	epitónion (-ii)
rugby 	ludus follis ovāti
rum 	rhómium; sícera náutica
sabotaggio 	occulta evérsio
sacco da montagna 	saccipérium dorsuāle
safari 	Africana venátio
salame 	tomáculum
salamino (salsiccia) 	botellus (-i)
salasso 	sánguinis detráctio
salatino 	crústulum sale condītum
salone 	éxedra
salumificio 	salsamentária officīna
salvadanaio 	theca nummária
sangría 	pótio mixta Hispánica
sarta 	vestífica
scadenza 	dies praestitūtus
scaldabagno 	bálnei caldárium
scaldavivande 	ferculōrum calidárium
scappatella 	iuvenīle errātum
scaricabarili 	críminis translátio
scarpiera 	armaríolum cálceis servandis
scenata 	irae effúsio
sci (corsa di) 	nartátio (-ōnis)
sciatore 	nartator (-ōris)
scientificità 	scientialis rátio
scienza delle finanze 	nummáriae rei disciplina
sciopero 	operistítium; cessátio ab ópere
scippo 	evúlsio furtífica
sciroppato 	mulsō condītus
sconto 	prétii deminútio
scontrino 	schédula emptória
scotch 	víschium Scóticum; taeníola glutinatīva
scuolabus 	discipulorum laophorīum
sedativo 	medicamentum mitigatórium
sedentario 	sellulárius
sedia a sdraio 	séllula reclīnis
sedile ribaltabile 	sella plicátilis
segreto epistolare 	opertum litterarum
self-control 	sui moderátio
serbatoio 	conceptáculum
sfida 	provocátio
shampoo 	capitilávium
shock 	collapsus gravis
shorts 	brevíssimae bracae
sigaretta 	fístula nicotiāna
sigaro 	bacillum nicotianum
sinistrato 	detrimento affectus
sketch 	brevis áctio cómica
slip 	parvum subligáculum
slogan 	sententíola praeconiālis
smog 	fumus et nébula
snack bar 	thermopólium potórium et gustatórium
snobista 	homo affectatus
solidarietà 	consociāta voluntas
soubrette 	praecípua scáenica actrix
souvenir 	memoriale (-is)
spacciatore 	vénditor clandestīnus
spaghetto 	pasta vermiculata
speaker 	locutor
spezzatino 	caro minutātim dissecta
sport 	lúdicra  córporis exercitátio
spot 	intercalatum laudatīvum núntium
spray 	liquor nubilógenus
sprint 	extrēma accelerátio
staff 	cooperatorum coetus
stand 	tabernáculum exhibitórium
stock 	cúmulus mércium
stop 	iussum sistendi
strudel 	pomorum placenta
sympósium 	doctorum virorum conventus
tabacco 	tabācum; nicotiāna herba
tabù 	sacra interdíctio; sollemne interdictum
tailleur 	vestis bipertīta
tangente 	largítio quaestuōsa
tangenziale 	suburbana velócior via
tappabuchi 	abséntium vicárius
taxi 	autocinētum meritórium
tazzina 	pocīllum
tè 	theāna pótio
tea-room 	conclāve theárium
telecronaca 	relátio televisífica
telefonata 	telephónicum collóquium
telenovela 	fábula televisífica
tergicristallo 	vitritersórium
termocoperta 	strágulum calefactórium
terrorista 	tromócrates (-ae)
test 	experimentum
thermos 	lagoena calefactória
timer 	instrumentum témpori praestituēndo
tocai 	Hungáricum vinum
tortellino 	pastillus tórtilis
tour 	circúitus (-us)
tracimazione 	exundátio
trade mark 	ergastérii nota
traffico stradale 	viarum frequéntia
tram 	públicus currus eléctricus
traveller's cheque 	mandatum nummárium periegéticum
treno 	hamaxóstichus
trust 	societatum bonis gignendis impérium
turista 	periegētes (-ae)
tuta 	indumentum bracātum
ultrà 	extremārum pártium ássecla
umanista 	ártium liberálium cultor
umorista 	festivus homo
valigia 	vídulus
valore 	prétium; virtus; auctóritas; praestántia
valzer 	chorēa Vindobonensis
vermut 	absinthiātum
vicepresidente 	propraeses
vigile del fuoco 	siphonárius
vip 	amplíssimus vir
viveur 	homo voluptárius
vodka 	válida pótio Slávica
vongola 	cónchula decussata
vuoto d'aria 	deminútio subitánea áëris
wagon-lit 	currus dormitórius
wagon-restaurant 	currus cenatórius
week-end 	éxiens hebdómada
würstel 	botellus (Germánicus; Austríacus)
zaino 	saccíperum dorsuale
zingaro 	hamaxóbius
zoosafāri 	venátio Africana.
