absinth	apsinthiatum -ī, n.
armadillo	dasypūs -podis, m.
art2	ars -is, f.
art-dealer	iconopōla -ae, m.
art-exhibit	expositio -ōnis, f.
art-gallery	iconopōlium -ī, n.
art-history	historia artium -ae, f.
art-nouveau	genus (pingendi) flōrāle -eris, n.
artery	artēria -ae, f.
artists-studio	(pictōris) pergola -ae f.
asteroid	asteroides -is, f.
astronomer	astrologus -ī, m.
astronomy	astronomia -ae, f.
astrophysics	astrophysice -es, f.
atavism	indolēs ingeniumque ab atavīs trāditum -ī, n.
atlas	atlas -antis, m.
aviary	aviārium -ī, n.
aviation	ars āeronautica -tis, f.
aviator	volāticus homo -inis, m.
azimuth	azimutum -ī, n.
baboon	cynocephalus -ī, m.
background	abscēdentia -ae, f.
backhand-strike	ictus inversus -ūs, m.
backhanded	supīnā manū pulsus -ūs, m.
backpack-rucksack	pēra -ae, f.
bacteria	bacterium -ī, n.
bacteriology	bacteriologia -ae, f.
badge	īnsigne -is, n.
badger	taxo -ōnis, m.
badminton	lūdus pilae pennātae (Badmintonicae) -ī, m.
bag	crumīna -ae, f.
bail-out	(avi) de caelō umbellā labor -ōris, m.
balancing-pole	baculus libratōrius -ī, m.
balcony	maenium -ī, n.
ball	globus -ī, m.
ball-catcher	captor -ōris, m.
ball-game	lūsus pilāris -ūs, m.
ball-player	lūsor -ōris, m.
balloon	follis aërius -is, m.
balloon-hotair	globus (v. follis) aërostaticus, aërostaton -ī, m.
airship	aërostatum -ī, n.
banister	epimēdion -ī, n.
bank	argentāria -ae, f.
bank-account	argentāria ratiō -ōnis, f.
bank-deposit	pecūniae dēpositae -ārum, f.
bank-statement	ratiōnes breviāriae -um, f.
bankbook	libellus comparsōrum -ī, m.
banker	mēnsārius -ī, m.
banking	argentāria -ae, f.
banking-house	mēnsa argentāria -ae, f.
bar-counter	abacus caupōnius -ī, m.
baracuda	sphyraena -ae, f.
barefoot	discalceātus -i, m.
barn	horreum -ī, n.
barn-owl	ulula flammeata -ae, f.
barrel	cūpa -ae, f.
bas-relief	caelātūra -ae, f.
base-baseball	statiō -ōnis, f.
base	basis -is, f.
base-of-pedestal	podium -ī, n.
baseball	basipila -ae, f.
baseball-bat	baculus -ī, m.
baseman	custōs (statiōnis) -ōdis, m./f.
basement	contignātiō (v. receptāculum) subterraneum -ōnis, f.
basilica	basilica -ae, f.
basketball	lūdus bascaudārius -ī, m.
bass	perca fluviātilis -ae, f.
bat-sports	clāva -ae, f.
bat	vespertīlio -ōnis, m.
bathing	lavātio -ōnis, f.
batter	battūtor -ōris, m.
battleship	nāvis longa -is, f.
beach2	acta ad nandum idōnea -ae, f.
beach-suit	vestis natātōria -is, f.
beachcomber	ērro v. cessātor in litore -ōnis/ōris m.
beacon	signum monitōrium -ī, n.
bead	globulus perforātus -ī, m.
beagle	parvus canis vēnāticus -is, m.
beaver	castor -oris, m.
beer-ale	ael indeclinable
beer	ael indeclinable
beer-bottledbeer	cervesia lagoenaria -ae, f.
beetle	scarabaeus -ī, m.
belt	cingulum -ī, m.
beltbuckle	cingulī fībula -ae, f.
beret	pīleus Vasconicus -ī, m.
anchorage	statiō nāvālis -ōnis, f.
best-seller	liber venditiōne praecellentissimus -ī, m.
bibliography	index librōrum -icis, m./f.
biceps	lacertus -ī, m.
big-dipper	Ursa Māior -ae, f.
beak	rostrum -ī, n.
billiard-ball	globulus eburneus -ī, m.
billiards	lūdus tudicularis -ūs, m.
binding	ligātūra librī -ae, f.
biogenetics	biogenetica -ae, f.
biographer	vītae (alicuius) scrīptor -ōris, m.
biography	vīta -ae, f.
biologist	animantium scientiae doctus -ī, m.
biology	animantium scientia -ae, f.
biosphere	biosphaera -ae, f.
bird-of-paradise	avis paradīsī -is, f.
bird-of-prey	avis rapāx (v. praedatrix) -is, f.
birthmark	genetīva nota -ae, f.
blackbird	merula -ae, f.
bladder	vēsīca ūrīnāria -ae, f.
blimp	magnus follis volāticus -is, m.
blindfold	pannus oculos obligans -ī, m.
blood-donor	sanguinis dōnātor -ōris, m.
blood-plasma	ūmor sanguinis -ōris, m.
blood-poisoning	venēficium sanguinis -ī, n.
blood-pressure	pressūra sanguinis -ae, f.
blood-serum	serum sanguinis -ī, n.
blood-vessel	vās sanguineum -āsis, n.
bloodhound	canis sanguinarius -is, m.
bloodstream	fluxus sanguinis -ūs, m.
blueprint	operum -ī, n.
boa	boa -ae, f.
boat	scapha -ae, f.
boat-liner	nāvis longa -is, f.
boat-house	casa scaphāria (v. barcāria) -ae, f.
boat-race	certāmen nāviculārum (v. nauticum) -inis, n.
boating	gestātio nāviculā -ōnis, f.
bobsled	sclodia gubernābilis -ae, f.
bomb	bomba -ae, f.
bomb-shelter	bellōrum latebra -ae, f.
bombardier	ballistārius aērius -ī, m.
bomber-airplane	aēroplānum bombiferum -ī, n.
bombing	aērius coniectus -ūs, m.
bone-marrow	medulla ossium -ae, f.
bonnet	mitra -ae, f.
book-bag	capsula scholastica -ae, f.
book-review	exīstimātiō librī -ōnis, f.
bookbinder	bibliopega -ae, m.
booklet	libellus -ī, m.
bookmark	discerniculum -ī, n.
bookseller	librārius -ī, m.
bookshop-bookstore	(taberna) librāria -ae, f.
boomerang	missile recellēns -is, n.
boot	ocrea -ae, f.
booth	taberna -ae, f.
bootjack	furca caligaria -ae, f.
excessive-drinking	perpōtātio -ōnis, f.
botanist	herbārium -ī, n.
botany	herbāria (ars) -is, f.
bound-book	liber compactus -ī, m.
boundary-line	linea externa (campī) -ae, f.
bouquet-of-wine	flos odōris -ōris, m.
bowling-ball	globulus lūsōrius -ī, m.
bowling-lane	cōnōrum aureola -ae, f.
bowling-pin	cōnus -ī, m.
bowling	conilūdium -ī, n.
bowls-game	pilārum ligneārum lūdus -ī, m.
boxer	pugil -ilis, m.
boxing	pugilātus -ūs, m.
boxing-glove	caestus -ūs, m.
boxing-ring	suggestus quadrātus -ūs, m.
boy-scout	puer (v. adulēscēns) explōrātor -ī, m.
bracelet	armilla ae, f.
brand	stigma -ātis, n.
brandy	vīnum sublimatum -ī, n.
breakwater-mole	mōlēs (fluctibus opposita) -is, f.
breast-stroke	natātio prōna -ōnis, f.
breastbone-sternum	sternum -ī, n.
breed	seminium canīnum -ī, n.
breeding-selective	sēlectio (generatōria) -ōnis, f.
brewer	coctor (cervesiae) -ōris, m.
brewery	bracina -ae, f.
brewing	cerevisiae coctura -ae, f.
bridge	puppis -is, f.
briefcase	chartophylacium -ī, n.
broach	fībula -ae, f.
broad-jump-long-jump	saltus in longum -ūs, m.
brochure-pamphlet	libellus -ī, m.
bronchial-tubes	artēriae (asperae) -ārum, f.
bronchitis	spīritūs meātum inflammātio -ōnis, f.
bronco	mannus -ī, m.
brush	penicillum -ī, n.
buck-deer	cervus -ī, m.
buckle	fibula -ae, f.
buffalo	būbalus -ī, m.
bug	cīmex -icis, m.
bulls-eye-hit	scopus medius -ī, m.
bulldog	canis molossus -is, m.
bumblebee	apis bombitāns (v. orterrestris) -is, f.
buoy	signum innatāns ad nāvium cursus signāndos -ī, n.
buoyancy	levitās -ātis, f.
bureaucracy	grapheocratica -ae, f.
bureaucrat	grapheocrates -is, m.
burro	asinus -ī, m.
bust-bosom	pectus -oris, n.
bust	herma -ae, f.
butress	erisma -ae, f.
buzzard	būteo -ōnis, m.
cabin	cubiculum -ī, n.
cabinet	cōnsistorium -ī, n.
caliph	chalīfa -ae, f.
caliphate	chalīfatus -ūs, m.
camel-driver	camēlarius -ī, m.
caemo	camaeus -ī, m.
cameo	camaeus -ī, m.
cameraman	rei cinematographicae artifex phrase
canary	fringilla canāria -ae, f.
canoe	scapha -ae, f.
canvas	textile -is, n.
cap	pilleus -ī, m.
capital-arch	capitulum -ī, n.
capital-column	capitulum -ī, n.
capricorn	capricornus -ī, m.
captain	magister (v. praefectus) nāvis -ī, m.
carat	pars vīcēsima quārta aurī purī -ae, f.
caravansary	dēversōrium pūblicum -ī, n.
cargo-ship	(nāvis) onerāria -is, f.
caricature	dēprāvata imitātiō -ōnis, f.
caricaturist	gryllographus -ī, m.
carp	cyprinus -ī, m.
carrier-pigeon	columba vectōria -ae, f.
cartilage	cartilāgo -inis, f.
carving-art	caelātūra -ae, f.
carving-object	caelatūra -ae, f.
casement-window	biforis fenestra -ae, f.
castaway	naufragus -ī, m.
cat	cattus -ī, m.
catamaran	scapha Indica -ae, f.
cell	cellula -ae, f.
cell-fusion	cytogamia -ae, f.
celluloid	celluloīda -ae, f.
cellulose	cellulosa membrāna -ae, f.
censorship	censūra (librōrum) -ae, f.
chameleon	chamaeleon -ontis, m.
chamois	capreolus -ī, m.
chancellor	cancellarius -ī, m.
chapter	caput -itis, n.
charcoal	carbunculus -ī, m.
cheekbone	ōs mandibulae -is, n.
cheetah	lycāon -ōnis, f.
chimney-passage	fūmariolum -ī, n.
chimpanzee	satyrus -ī, m.
chipmunk	sciūrus Americanus -ī, m.
chlorophyll	chlorophyllum -ī, n.
chrosome	chromosōma -atis, n.
chrysalis	chrysallis -idis, f.
cicada	cicāda -ae, f.
cider-apple	vīnum mālinum -ī, n.
civilservice	officium cīvīle -ī, n.
cleft-palate	rictus lupīnus -ūs, m.
clipper	celōx ōcis, f.
clippings	resegmina -um, n.
clitoris	clitoris -idis, f.
clone	clōn -ōnis, m.
cloven-hoof	biscula ungula -ae, f.
club	fūstis -is, m.
co-pilot	volāticus adiūtor -ōris, m.
coaster	nāvis orāria -is, f.
coat-animal	pellis -is, f.
cobra	nāia -ae, f.
cock-rooster	gallus -ī, m.
cockatoo	psittacus cristātus -ī, m.
cockpit	aëroplanigae cella -ae, f.
cockroach	blatta -ae, f.
cocktail	cinnus -ī, m.
cocoon	globulus -ī, m.
cod	gadus morrhua -ī, m.
cognac	pōtiō Condatina (v. Coniacensis) -ōnis, f.
cold-disease	gravēdō -inis, f.
collar	collare -is, n.
collarbone	iugulum -ī, n.
collie	canis pāstōrālis -is, m.
colon	cōlon -ī, n.
colonnade	porticus -ūs, f.
column	caput -itis, n.
column-arch	columna -ae, f.
combine	mestrum tritorium -ī, n.
comet	comēta -ae, f.
comic-book	picta historiola -ae, f.
committee	dēlecti (viri) -ōrum, m.
compass-magnetic	nautica pyxis -idis, f.
compound-interest	anatocismus -ī, m.
concord-jet	aëronavis Concordiensis -is, f.
conditioned-reflex	reflexus condiciōnālis -ūs, m.
conference-hall-meeting-room	senāculum -ī, n.
connoisseur	exīstimātor -ōris, m.
greenhouse	hortus sub vitrō clausus -ī, m.
control-tower	turris speculātoria -is, f.
coping	corōna -ae, f.
copperplate-engraver	chalcographus -ī, m.
copperplate-engraving	chalcographia -ae, f.
copyright	iūs auctōrum -ūris, n.
corn	callus -ī, m.
cornea	(tunica) cornea -ae, f.
cornerstone	lapis angularis -idis, m.
cornice	corōna -ae, f.
coronary-arteries	artēriae corde tractae -ārum, f.
cougar	panthēra -ae, f.
court	ātrium -ī, n.
courtyard	ārea -ae, f.
cover	librī tegmen (v. tegumentum) -inis, n.
cow-milk	bōs lactaria -ovis, m./f.
cowboy	armentarius -ī, m.
crab	cammarus (marīnus) -ī, m.
crane	grūs -is, m./f.
cranium	calvāria -ae, f.
crashlanding	nāvis aëriae ruīna -ae, f.
crawfish	cancer fluviātilis -ī, m.
crew	rēmiges -um, m.
cricket-game	lūdus baculī et pilae -ī, m.
cricket	cicāda -ae, f.
crocodile	crocodīlus ī, m.
croquet	malleōrum lūsus -ūs, m.
hybrid	mixtura -ae, f.
cross-breeding	hybridisatio -ōnis, f.
cross-country	cursus silvestris -ūs, m.
cross-country-skiing	nartātōrium cursus campester -ūs, m.
cross-reference	indicium trānslātum -ī, n.
crossbreed	misceo -ae, f.
crotch	bifurcum -ī, n.
crows-nest	specula nāvis -ae, f.
crows-foot	rūgae oculī -ārum, f.
cruelty-to-animals	vexātiō bēstiarum -ōnis, f.
cruise-noun	vectūra -ae, f.
cruise-ship	nāvis orās (maris) circumvectāns -is, f.
cruiser	nāvis longa -is, f.
crustacean	crustatum animal ālis, n.
cub	catulus -ī, m.
cuckoo	coccyx -ygis, m.
ball-cue-billiards	tudicula -ae, f.
cue-sports	clāvula lūsōria -ae, f.
cufflinks	globuli gemini -orum, m.
cupola	tholus -ī, m.
cur	canis nothus -is, m.
curator	cūrātor -ōris, m.
curacao	aromaticus liquor Currassuviensis -ōris, m.
curling	Scotōrum lūsus -ūs, m.
cut-glass	vitrum caelātum -ī, n.
cutter	celōx -ōcis, f.
dachsund	(canis) taxōnīnus -is, m.
dandruff	furfur capitis -uris, m.
darwinism	Darviniī theōria -ae, f.
deck	pōns -is, m.
dedication-of-book	nuncupātio -ōnis, f.
deputy	lēgātus -ī, m.
detachment-of-retina	ablātio retīnae -ōnis, f.
diaphragm	trānsversum saeptum -ī, n.
dimple	lacūna parva (v. modica) -ae, f.
dinghy	scapha -ae, f.
dinosaur	dinosaurus -ī, m.
dirigible	aëroplanum follinum (v. Zepelinianum) -ī, n.
distillery	stillaticia officīna -ae, f.
dive-at-pool	saltus in aquam -ūs, m.
dive-high	saltus dē turrī -ūs, m.
diver	(perītus) ūrīnātor -ōris, m.
diving	ūrīnandi ars (v. disciplīna) -is, f.
diving-bell	campāna ūrīnātōria -ae, f.
diving-board	tabula dēsultōria -ae, f.
diving-gear	apparātus ūrīnātōrius -ūs, m.
diving-goggles	perspicillum ūrīnātōrium -ī, n.
dobermann	canis Dobermannius -is, m.
dock-dry	siccum nāvāle -ī, n.
dockyard	nāvālia -ae, f.
doe	cerva -ae, f.
dog-tag	lāmella canaria -ae, f.
doghouse	(canis) cubīle -is, n.
dolphin	delphīnus -ī, m.
donkey	asinus -ī, m.
door	foris -is, f.
door-revolving	cochlea -ae, f.
door-frame	replum -ī, n.
door-handle	ānsa iānuae (aperiendae) -ae, f.
door-knocker	cornīx -icis, f.
doorbell	tintinnabulum -ī, n.
double-chin	submentum -ī, n.
doubles-tennis	lūdus bis bīnōrum -ī, m.
downhill-skiing	nartatoria dēcursio simplex -ōnis, f.
draft-beer	cervesia de dōlio -ae, f.
draft	nōmen -inis, n.
dragonfly	libella -ae, f.
drawing	graphis -idis, f.
dribble	repercussus pilae -ūs, m.
driver-golf	clāva agitātōria -ae, f.
drone-bee	fūcus -ī, m.
drone	aëria nāvis sine gubernātore -is, f.
drunkenness	ēbrietās -ātis, f.
duck-billed-platypus	ornithorhynchus -ī, m.
duffel-bag	sarcina -ae, f.
eagle	aquila -ae, f.
ear-wax	aurium sordēs -is, f.
eardrum	tympanum -ī, n.
earmuffs	ligāmentum aurium -ī, n.
earthworm	lūmbricus (terrestris) -ī, m.
easel	iugum pictōrium -ī, n.
eclipse	dēfectus -ūs, m.
eclipse-solar	obscūrātio sōlis -ōnis, f.
editing	redactio -ōnis, f.
edition	ēditiō -ōnis, f.
editor	moderātor -ōris, m.
editorial-staff	cōnsilium commentāriīs moderāndīs -ī, n.
elevation-architectural-drawing	dēlīnātio sectiōnis perpendiculāris -ōnis, f.
elevator	anabathrum -ī, n.
elk	alces -is, f.
emergency-exit	exitus necessitātis (v. perīculī) -ūs, m.
emir	phylarchus Arabum -ī, m.
emirate	phylarchia -ae, f.
enamel	vitrum metallicum -ī, n.
enclyclopaedia	orbis doctrīnae -is, m.
endorsee	indorsatārius -ī, m.
endorsement	opistograhum -ī, n.
enzyme	enzymum -ī, n.
erection	ērectio pēnis -ōnis, f.
escalator	scālae mōbilēs -ārum, f.
esophagus	gula -ae, f.
estrogen	oestrogenum -ī, n.
etching	rāsio -ōnis, f.
eugenics	eugenicus -ī, m.
eustachian-tube	tuba audītīva -ae, f.
evolution	(Darviniana) animantium per gradūs mūtātiō -ōnis, f.
exhibition	expositio (v. mōnstrātio) artificiōrum -ōnis, f.
experimental	experīmentālis -e
eye-socket	orbita -ae, f.
eyeball	oculī pōmum -ī, n.
eyebrow	supercilium -ī, n.
eyelash	palpebrārum pilus -ī, m.
eyelid	palpebra -ae, f.
facial-expression	vultus -ūs, m.
facsimile	dēscrīptiō imāgōque litterārum -ōnis, f.
facsimile-edition	opus phototypice expressum -eris, n.
fakir	fakīrus -ī, m.
falcon	falco -ōnis, f.
fallen-arch	pēs plānus -edis, m.
fan	flabellum -ī, n.
fan-electric	apparātus ventilātiōnis -ūs, m.
fang	dēns (canīnus v. rapāx) -is, m.
farm	fundus rūs ī, m.
farmer	agricola -ae, m.
farmhand	operarius agrārius (v. rusticus) -ī, m.
farmhouse	vīlla -ae, f.
farming	agrī cultūra -ae, f.
farmyard	cohors -ortis, f.
fawn-deer	hinnuleus -ī, m.
facade	frōns -tis, f.
felthat	petasus coāctilis -ī, m.
fencer	gladiātor -ōris, m.
fencing-foil	dolō bullātus -ī, m.
fencing-master	lanista -ae, m.
fencing-match	certāmen rudium (v. gladiātōrium) -inis, n.
fencing-school	lūdus gladiātōrius -ī, m.
fermentation	fermentātio (vīnōsa v. alcoholica) -ōnis, f.
ferret	viverra -ae, f.
ferry-boat	nāvis traiectōria -is, f.
ferryman	portitor -ōris, m.
fertilizer	stercus -oris, n.
fertilizer-chemical	fimus (chemicus) -ī, m.
fiber	fibra -ae, f.
field-hockey	alsulegia prātensis -ae, f.
field-hockey-ball	pila alsulegia -ae, f.
field-hockey-player	alsuelgiārius -ī, m.
figure-skater	patinator artifex -ōris, m.
figure-skating	patinatio artificiōsa -ōnis, f.
filigree	diātrēta -ae, f.
financial-instutution	īnstitūtm monetale -ī, n.
fine-arts	artēs liberālēs -um, f.
fingernail	unguis -is, m.
fingernail-clipping	resegmina unguium -um, n.
fingertip	digitus extrēmus -ī, m.
firefly	cicindēla -ae, f.
first-half	tempus prīmum -oris, n.
fish-hatchery	ichthyotrophium -ī, n.
fishbone	spīna piscis -ae, f.
flagship	nāvis praetōria -is, f.
flick	crepitus -ūs, m.
flight-airtravel	volātus -ūs, m.
flight	volātus -ūs, m.
flight-attendant	hospes aëronauticus -itis, m.
flight-path	cursus volāticus (v. volatūrae) -ūs, m.
float	cortex -icis, m.
floor	pavīmentum -ī, n.
floor-level	tabulātum -ī, n.
floor-plan	operis dēscrīptiō -ōnis, f.
ground-floor	tabulātum inerius -ī, n.
flute	stria -ae, f.
fluting	striātūra -ae, f.
fly	musca -ae, f.
folded-hands	manūs iunctae -uum, f.
food-chain	catēna alimentaria -ae, f.
football	follis -is, m.
football-player	pedisphaerista -ae, m.
footnote	adnotātio (īmae pāginae) -ōnis, f.
footwear	calceāmentum -ī, n.
forearm	bracchium -ī, n.
forecastle	prior pars nāvis -is, f.
forefinger	index -icis, m./f.
foreground	pars antica -is, f.
foreleg	crūs prius -ūris, n.
forward-player	oppugnātor -ōris, m.
frame	antepagmentum -ī, n.
frame-painting-noun	rēgula (quadrāta) -ae, f.
frame-picture	fōrma -ae, f.
freckle	ephēlis -idis, f.
freedom-of-the-press	rēī librāriae libertās -ātis, f.
fresco	opus tēctōrium -eris, n.
frieze	zōophorus -ī, m.
frog	rāna -ae, f.
frogman	ūrīnātor spīrāculō rnunitus -ōris, m.
froth-head-of-beer	flōs (v. spuma) cervesiae -ōris, m.
fungicide	(venēnum) fungicidale -is, n.
gable	fastīgium -ī, n.
gadfly	tabanus -ī, m.
galaxy	coetus ingēns stēllārum -ūs, m.
gall	bīlis -is, f.
gall-bladder	fel -is, n.
gallery	porticus -ūs, f.
gallery-art	pinacothēca -ae, f.
gallery-balcony	tribūnal -ālis, n.
galley	nāvis actuāria -is, f.
galley-slave	rēmex servus -igis, m.
gallop	cursus citātus -ūs, m.
galoshes	calceorum indumentum -ī, n.
gamete	cellula sexuālis -ae, f.
gangplank	pōns is, m.
gas-heating	calefactio gasalis -ōnis, f.
gas-main	ductus gasalis -ūs, m.
gas-meter	gasometrum -ī, n.
gastric-juice	sūcus gastricus -ī, m.
gene	gen indeclinable
genetics	genetica (doctrīna) -ae, f.
genitals	genitālia -ōrum, n.
genus	nōmen genericum -inis, n.
gesture	gestus -ūs, m.
gills	branchiae -arum, f.
gin	vīnum iūniperum -ī, n.
giraffe	camēlopardus ī, m.
girder	trabs -is, f.
gizzard	ventriculus avis anterior -ī, m.
gland	glandule -is, n.
glassblower	vitreārius -ī, m.
glider-for-hang-gliding	aëronavis vēlifera (v. vēlifica) -ae, f.
glider-person	deltaplānista -ae, f.
glider-hang	deltaplānum -ī, n.
glider-sailplane	(aëroplanum) vēlivolum -ī, n.
glove	chirothēca digitata -ae, f.
glowworm	cicindēla -ae, f.
glycogen	glycogenium -ī, n.
gnat	culex -icis, m.
goal-football	porta -ae, f.
goal-line	linea portāria -ae, f.
goal-post	pālus -ī, m.
goal-keeper	custōs -ōdis, m./f.
goalie-soccer	iānitor -ōris, m.
goldfinch	acalanthis -idis, f.
goldfish	hippurus -ī, m.
golf	pilamalleus -ī, m.
golf-caddie	bāiulus malleōrum -ī, m.
golf-cart	carrulus malleōrum -ī, m.
golf-club	clāva -ae, f.
golf-course-hole	scrobiculus -ī, m.
golf-green	ārea viridis -ae, f.
gonads	glandulae genitāles -ārum, f.
gondola	cymbula -ae, f.
grain	horreum -ī, n.
grasshopper	gryllus -ī, m.
grating	forīculae -ārum, f.
great-tit	misinga -ae, f.
grenade-shell	granata -ae, f.
greyhound	vertagus -ī, m.
grisaille	leucophaeus -um, n.
grizzly-bear	ursus -ī, m.
groin	inguen -inis, n.
groove	stria -ae, f.
grouse	tētrao -ōnis, m.
grub	vermiculus -ī, m.
guinea-pig	mūs porcellus -ūris, m.
gull-bird	larus -ī, m.
gum-of-mouth	gingīva -ae, f.
gunboat	lembus -ī, m.
gymnastics	ars gymn(ast)ica -is, f.
gymnist	gymnasticus -ī, m.
habitat	biochōr -ōris, m.
haddock	gadus -ī, m.
half-moon	lūna dīmidi(at)a -ae, f.
halibut	hippoglossus -ī, m.
hall-building	basilica -ae, f.
halo	corōna -ae, f.
ham	poples -itis, m.
hamster	cricētus -ī, m.
hamstring	poplitis nervus -ī, m.
handball	manufollium -ī, n.
handball-ball	manufollis -is, m.
handball-game	manufollium -ī, n.
handball-player	lūsor manufollis -ōris, m.
handbook	libellus -ī, m.
handkerchief	sūdārium -i, n.
handrail	epimedion -ī, n.
hang-gliding	vēlificātio aērea -ōnis, f.
hangar	tugurium (v. tegurium) aëroplani -ī, n.
hangover	gravēdō crāpulae -ēdinis, f.
harelip	labium leporīnum -ī, n.
harem	gynaecēum (regium) -ī, n.
hat	galēriculum -ī, n.
hatberet	pīleus Vasconicus -ī, m.
hatbonnet	mitra -ae, f.
hatcap	pilleus -ī, m.
hatfelthat	petasus coāctilis -ī, m.
hatstrawhat	pīleus strāmineus -ī, m.
hattophat	petasus altus -ī, m.
hatturban	tiāra -ae, f.
haunch	clūnis -is, m./f.
haut-relief	ectypon -ī, n.
hawk	accipiter -itris, m.
heat-central	calefactio centrālis -ōnis, f.
heating-radiator	focus -ī, m.
hedgehog	erināceus porcīnus -ī, m.
heelofshoe	fulmenta -ae, f.
helicopter	helicopterum -ī, n.
helm	gubernāculum -ī, n.
helmsman	gubernātor -ōris, m.
hemoglobin	haemoglobīnum -ī, n.
hermaphrodite	hermaphrodītus -ī, m.
heron	ardea -ae, f.
herring	harenga -ae, f.
hibernation	somnus brūmalis -ī, m.
hiccup	singultus -ūs, m.
highheels	calces altiusculae -ium, f.
highball	aqua vītae -ae, f.
hijacking	aëroplāni (v. aëria) abductio -ōnis, f.
hike	ambulātio -ōnis, f.
hiker	oribates -ae, m.
hiking	ambulātiōnes -um, f.
hiking-boot	calceāmentum clāvātum -ī, n.
hikingshoe	calceus carpatinus (v. clāvatus) ī, m.
hip	coxa -ae, f.
hippopotamus	hippopotamus -ī, m.
hockey	pilamalleus -ī, m.
hockey-puck	discus -ī, m.
hockey-stick	malleus repandus -ī, m.
home-baseball	summa statiō -ōnis, f.
hookah	māchina fūmifera -ae, f.
hoop	trochus -ī, m.
hoopoe	upupa -ae, f.
hops	lupus -ī, m.
hormone	hormōnum -ī, n.
hornet	crābrō -ōnis, m.
hothouse	plantārium -ī, n.
houseboat	thalamēgus -ī, f.
hovercraft	scapha (automaria) Hōveriana -ae, f.
hull	alveus -ī, m.
hound	canis vēnāticus (v. vēnātor) -is, m.
hurdle	claustra -ōrum, n.
huskie	canis traharius -is, m.
hydrofoil	āliscapha -ae, f.
hydroplane	hydroplānum -ī, n.
hyena	hyaena -ae, f.
hymen	hymen -inis, m.
ice-hockey	alsulegia glaciālis -ae, f.
ice-hockey-player	alsulegiārius lūsiōnis glaciālis -ī, m.
ice-skates	soleae glaciē gestandi -ārum, f.
ice-skating	patinatio -ōnis, f.
illustration	tabula -ae, f.
illustrator	tabulārum pictor -ōris, m.
impressionism	impressiōnismus -ī, m.
impressionist	impressiōnista -ae, m.
incendiary-bomb	bomba incendiāria -ae, f.
incubation	incubātio -ōnis, f.
incubator	īnstrūmentum incubātiōnis -ī, n.
index-finger	(digitus) index -ī, m.
index-of-prohibited-books	index librōrum prohibitōrum -icis, m./f.
indoor-tennis	tenilūdium aulāre -ī, n.
inning	pilae vices -um, f.
insect	insectum -ī, n.
insecticide	(venēnum) insectidiale -is, n.
instep-foot	pars pedis superior -is, f.
instep	mōns pedis -is, m.
insulator	māteria impervia -ae, f.
intestinal-worm	vermis intestīnalis -is, m.
intestine	intestīnum -ī, n.
intestines	intestīnum -ī, n.
introduction	prooemium -ī, n.
invertebrate	invertebratus -ī, m.
iris	iris -idis, f.
islam	Islamismus -ī, m.
jackal	thōs (v. thōis) -ōis, m.
jackass	asinus -ī, m.
jai-alai-pelota	(pilae) lūsus vasconicus -ūs, m.
janissary	mīles iānitārius -itis, m.
janitor	ātriēnsis -is, m.
jellyfish	urtīca marīna -ae, f.
jet	aëronāvis retrōversus impulsus -is, f.
jet-stream	scatebra -ae, f.
